variable,state,value_2014,delta_2014_2024,delta_2024_2034,delta_2034_2044,delta_2044_2054,total_delta,national_delta,significantly_different,p_value
CDD,AL,22.72860815560076,-0.5792086696141077,1.8544540789529727,1.368988942962794,-3.827873838343983,-1.183639486042324,-0.8397665412394417,False,0.9528070238439905
CDD,AR,27.730652814145586,-3.0061216671810733,2.717179832743078,-0.6213292862380975,-1.3214435354945415,-2.2317146561706345,-0.8397665412394417,False,0.7996943987705047
CDD,AZ,72.96294263785421,2.740632798178069,0.031115309453667805,5.965816682643236,-5.022694467836402,3.7148703224385713,-0.8397665412394417,False,0.6498788277782737
CDD,CA,117.10034811974916,2.788364806555748,-8.99090361947178,3.4163113489563557,1.9231324106777379,-0.8630950532819384,-0.8397665412394417,False,0.9985059522878899
CDD,CO,35.988846959788106,-0.2710822503363062,1.2198377519948664,0.47347080333015157,-2.303551869477438,-0.8813255644887263,-0.8397665412394417,False,0.9913927080979966
CDD,DC,21.0,-2.0,0.0,1.0,0.0,-1.0,-0.8397665412394417,False,0.9626872908320934
CDD,DE,18.51334735004693,0.0,0.48665264995306856,1.0,-0.48665264995306856,1.0,-0.8397665412394417,False,0.48426087294443965
CDD,FL,23.55104441485894,1.7033913139960148,2.1106879905001534,-1.148379922738986,-1.62448677310136,1.0412126086558224,-0.8397665412394417,False,0.6826071066851988
CDD,GA,22.744612911429126,-0.6897961871121581,3.3543002395420807,0.37845344385778645,-4.438259245566137,-1.3953017492784276,-0.8397665412394417,False,0.9373181172487126
CDD,IA,27.830347070224004,-2.2690333546762176,1.5070534582912423,1.6364123542893303,-2.9460636325127076,-2.0716311746083527,-0.8397665412394417,False,0.8238620181119594
CDD,ID,41.32982169735034,0.7913824877699938,-3.7690890619959205,1.5834668836557313,1.8776440140699506,0.48340432349975515,-0.8397665412394417,False,0.8233866427405289
CDD,IL,21.872772204490154,-1.3306243948052767,2.3327798655578142,-0.44080074002592795,-1.0960003845779163,-0.5346456538513067,-0.8397665412394417,False,0.9413905814656833
CDD,IN,19.384111523349677,-0.9537446258154212,1.9094511638123777,-0.6183246600079144,-0.4249968544691818,-0.08761497648013972,-0.8397665412394417,False,0.8302594867735469
CDD,KS,39.181364742649855,-3.1237963859035816,2.047587480732986,1.3130875161051776,-4.207144577678548,-3.970265966743966,-0.8397665412394417,False,0.6525827042576944
CDD,KY,19.388316721004227,-0.7180017335405431,0.8804168304946458,-0.10571023419370817,-1.1843404618306934,-1.1276355990702989,-0.8397665412394417,False,0.920468813967355
CDD,LA,27.147557340840127,-2.522950989904249,0.9736758608737937,3.05210087441575,-3.9026668124595894,-2.399841067074295,-0.8397665412394417,False,0.8238728484390796
CDD,MA,16.640939759466995,-0.7270829990723904,0.6856156461000822,1.060771796761511,-2.01564462536615,-0.9963401815769473,-0.8397665412394417,False,0.9659504411387194
CDD,MD,18.44574675223943,-0.31009703264119537,0.7485051574269193,0.47932267432192077,-0.06539254196120936,0.8523382571464353,-0.8397665412394417,False,0.4942164280284922
CDD,ME,16.100609662249664,-0.5732257162484764,-0.6098976180296614,1.6300637992589966,-2.044519871346653,-1.597579406365794,-0.8397665412394417,False,0.844330278682927
CDD,MI,17.438648225553912,0.39470178954793766,0.003076661931707747,0.34427216457293497,0.4650252594533306,1.207075875505911,-0.8397665412394417,False,0.378235273475697
CDD,MN,26.6204903591036,1.159744520280686,0.22554821351996068,1.693145825333584,-3.052947636767801,0.025490922366429913,-0.8397665412394417,False,0.8614872825690736
CDD,MO,24.815767169944927,-2.253829690249429,2.4848646861094394,-0.38410547424689057,-1.351341910395309,-1.504412388782189,-0.8397665412394417,False,0.8903207410799328
CDD,MS,25.946027563606606,-2.0681579296386516,0.7591769786600402,2.737447351851518,-3.592982415768823,-2.1645160148959164,-0.8397665412394417,False,0.8338756430915033
CDD,MT,37.68342952258542,-1.1115563374020425,-0.43136404330238065,-1.0578232883420142,0.7659303041947254,-1.834813364851712,-0.8397665412394417,False,0.7289753398396479
CDD,NC,19.641319880399482,-0.4523169840156953,1.227506854135136,0.603602184776495,-2.533128561357522,-1.1543365064615863,-0.8397665412394417,False,0.9386000147651031
CDD,ND,40.1469216914439,-1.634614669002957,0.6800366223486378,-2.9306901385712933,0.4845694227626751,-3.4006987624629375,-0.8397665412394417,False,0.5522359249504369
CDD,NE,38.12929819544523,-2.9731588844844623,0.7656281891718208,0.5166422399788715,-1.5089719008814981,-3.199860356215268,-0.8397665412394417,False,0.5879313083882624
CDD,NH,15.490698513079987,0.22056813083661986,-1.0633542029291387,2.1480210464685676,-2.356169611668646,-1.0509346372925972,-0.8397665412394417,False,0.9631467956951174
CDD,NJ,17.557461645503494,-0.1365688149987747,0.35620510762229785,0.3591382887414625,0.6039217022895862,1.1826962836545718,-0.8397665412394417,False,0.3937714750306832
CDD,NM,52.005381217979604,3.231930592520534,-1.5468109221086124,4.623180014979184,-4.2036283357416835,2.104671349649422,-0.8397665412394417,False,0.7407126173636472
CDD,NV,71.50570641939319,-1.477354695346179,-5.223569040838981,4.3586938347046384,-2.4606676837796186,-4.8028975852601405,-0.8397665412394417,False,0.6512507050196736
CDD,NY,14.632086149086605,-0.09514095372841425,0.27029736385841296,0.238396228369135,-0.293820149613369,0.11973248888576471,-0.8397665412394417,False,0.6754197525731701
CDD,OH,16.866844437142042,0.08954464542251017,1.1030398781895094,-0.6437688491988816,0.42139212415160543,0.9702077985647435,-0.8397665412394417,False,0.5066034736705578
CDD,OK,35.81626354954007,-1.8595916930303247,2.098359599589081,-0.655212909486238,-1.480075305870379,-1.8965203087978608,-0.8397665412394417,False,0.8075891881785343
CDD,OR,49.78666332405371,3.9834330560140216,-7.451654430841714,0.2820332736716722,6.803721840113781,3.6175337389577606,-0.8397665412394417,False,0.7343112435954394
CDD,PA,15.223454341991715,0.2629751937908864,0.4568470946257701,-0.955478883662801,1.8960209278627573,1.6603643326166129,-0.8397665412394417,False,0.4576415677439506
CDD,RI,17.026073378135454,0.0,-0.3203444916986449,1.9262680901224343,-3.0518426665691685,-1.445919068145379,-0.8397665412394417,False,0.8997253955224388
CDD,SC,21.898631461810126,-1.0131480280730898,3.0514064465642967,-0.8842375499363655,-3.3630373565006124,-2.209016487945771,-0.8397665412394417,False,0.8188415525241864
CDD,SD,38.47267247170228,-2.5085516796729266,1.6856770347900536,1.2269884518271255,-3.1979140018063674,-2.793800194862115,-0.8397665412394417,False,0.732132008975155
CDD,TN,21.14445695519321,-1.0165455522362663,0.12270590300217421,0.006365376550231616,-1.4440853075455884,-2.331559580229449,-0.8397665412394417,False,0.5888084588839211
CDD,TX,45.38203735225655,-0.5607115382680945,-0.12706886405726436,1.218286288430086,-1.870070743589352,-1.3395648574846248,-0.8397665412394417,False,0.8848776754334255
CDD,UT,49.42391920417566,-1.980441586522801,1.0404426808168594,1.3570987872189377,-3.782157320575557,-3.3650574390625607,-0.8397665412394417,False,0.655063544874698
CDD,VA,19.051074218194312,-0.4727642778546155,0.798749686216393,-0.004060856663809176,-0.39341290759906755,-0.07148835590109925,-0.8397665412394417,False,0.7608400487724436
CDD,VT,14.593303265666481,-0.34276142877360805,-0.3522525646276229,1.1390590570399404,-1.3925877849337027,-0.9485427212949933,-0.8397665412394417,False,0.9719389321290159
CDD,WA,40.14470358638393,7.246781107823416,-9.138634210145156,3.2492810641202325,2.256058467769499,3.613486429567992,-0.8397665412394417,False,0.7648308609740264
CDD,WI,22.508712102870398,0.4546167755254906,-0.4039670584613617,1.2881863535738134,-2.601060053058969,-1.2622239824210268,-0.8397665412394417,False,0.9184570738336915
CDD,WV,15.398636779631133,0.32589358154840653,-0.4964771355464688,0.33027112527888214,0.322439955355847,0.4821275266366669,-0.8397665412394417,False,0.581052617874636
CDD,WY,35.53468456382713,-0.6251919375764601,1.1711559783696472,-0.0693720975962222,-1.8739403884780828,-1.3973484452811178,-0.8397665412394417,False,0.8711421595389339
FD,AL,50.23364066155359,-0.962369271313861,-9.627661848640102,-3.1481656127265722,-3.249744550993377,-16.987941283673912,-14.981516636267656,False,0.8433580074007748
FD,AR,62.71397153209203,0.7573201261892635,-13.321172630972171,-1.0564453428521574,-3.750490360638679,-17.370788208273744,-14.981516636267656,False,0.869991634889631
FD,AZ,84.85311579131259,-0.6648590211815844,-7.471715952650001,0.1239889839332875,-3.671403854186977,-11.683989844085275,-14.981516636267656,False,0.734547535044386
FD,CA,73.22064951716824,-0.8966880307541487,-5.6312353076305754,-2.4243267059852514,-2.404683554679657,-11.356933599049633,-14.981516636267656,False,0.6410276737307364
FD,CO,194.71140540709555,-4.800120192504295,-7.443826548889035,-3.234258451050664,-1.8482026716081634,-17.326407864052157,-14.981516636267656,False,0.7753321458450273
FD,DC,78.0,-6.0,-10.0,-4.0,-4.0,-24.0,-14.981516636267656,False,0.3245157608519842
FD,DE,83.10808775207474,-7.216278610396159,-10.270374039556899,-3.2429733104900365,-4.216278610396181,-24.945904570839275,-14.981516636267656,False,0.30512985115694224
FD,FL,9.653947100804665,0.045932090815565374,-2.364497757385161,-0.8273658368885188,-1.1110237470451718,-4.256955250503286,-14.981516636267656,False,0.15152814360191452
FD,GA,43.25792262913559,-2.4040402566651196,-7.440844170545361,-2.9011931596587957,-4.3136051020007535,-17.05968268887003,-14.981516636267656,False,0.7961195870057916
FD,IA,137.08387547015687,-2.162241017436628,-9.340647116288253,-2.7141740638187457,-0.8330303967296402,-15.050092594273266,-14.981516636267656,False,0.9946551094896183
FD,ID,199.02280219030965,-0.785588622728767,-13.421870003310943,-4.002270922742156,0.6409390448486079,-17.568790503933258,-14.981516636267656,False,0.8604081014481046
FD,IL,110.5531773114322,-3.769139879180443,-11.226942036616407,-3.705082158182691,-1.8716155165373891,-20.57277959051693,-14.981516636267656,False,0.609174104795557
FD,IN,113.79779209040404,-5.318959457741812,-10.045228754504564,-4.936273044354422,-2.1122203506902366,-22.412681607291034,-14.981516636267656,False,0.4429661819086597
FD,KS,117.37922396318831,-2.800064359621331,-10.082993799751932,-1.537594449435204,-0.5742050765881714,-14.994857685396639,-14.981516636267656,False,0.9990405751383757
FD,KY,92.20295097901759,-2.396746154692025,-9.600269860430203,-6.713071263449407,-1.6881167424204477,-20.398204020992083,-14.981516636267656,False,0.5973123973608343
FD,LA,24.116087259271133,1.975691836959978,-7.97756321884459,0.026602270767636327,-2.575784854532573,-8.55105396564955,-14.981516636267656,False,0.567677191135473
FD,MA,136.9946390352643,-9.100273672618712,-2.267591421721235,-3.4604084615141772,-6.507634339901813,-21.335907895755938,-14.981516636267656,False,0.49517416730206376
FD,MD,91.15267601887773,-7.302979726962462,-9.319210591645117,-3.4353928693420386,-4.8642792829918875,-24.921862470941505,-14.981516636267656,False,0.2663333140628462
FD,ME,171.2810433316554,-9.05682761067456,1.5426286062069607,-2.27936496038825,-5.108773812181312,-14.902337777037161,-14.981516636267656,False,0.9944413362708134
FD,MI,150.93106207631365,-8.541787903833722,-6.710418715821618,-3.882247286915856,-3.5636306965963342,-22.69808460316753,-14.981516636267656,False,0.36224566752580567
FD,MN,169.308755970985,-3.505809535934418,-6.852670360241888,-1.0480712657906395,-0.9121101476580122,-12.318661309624957,-14.981516636267656,False,0.7604594245194032
FD,MO,101.06352675523775,-2.4012065408918914,-11.497072023179896,-3.5640503849515426,-0.18278753962431438,-17.645116488647645,-14.981516636267656,False,0.8267760721092556
FD,MS,44.50706449584026,1.0845953392417158,-11.51616980147719,-1.388834606415294,-3.0003928953485506,-14.820801963999319,-14.981516636267656,False,0.9902254838863069
FD,MT,187.81687343083902,-0.4835075559717268,-8.535130690094945,-4.62695973359871,1.5446500652390398,-12.100947914426342,-14.981516636267656,False,0.8005683864898594
FD,NC,71.7718246616875,-4.474145226587993,-10.163551417892698,-2.434773463880923,-5.922205822631703,-22.994675930993317,-14.981516636267656,False,0.4088578702670437
FD,ND,176.5496740556528,-2.871111333475369,-4.129603390805698,-3.4358249356028523,-0.006481211921794738,-10.443020871805714,-14.981516636267656,False,0.5514011256102752
FD,NE,149.07268333029754,-1.3862178495442663,-8.13515111221642,-4.183150235052295,0.14600143348735628,-13.558517763325625,-14.981516636267656,False,0.886631511029908
FD,NH,167.9993648131302,-7.311719430776975,0.12768509400956418,-3.581511875954021,-4.907887778040333,-15.673433990761765,-14.981516636267656,False,0.9398236149720882
FD,NJ,108.20852241841582,-9.349567634193804,-7.491045291034354,-2.4274443862177293,-6.149165147454639,-25.417222458900525,-14.981516636267656,False,0.2675748313403737
FD,NM,136.56091667786131,-2.18799424870312,-10.086388562724338,0.550663183523767,-2.2787853459590224,-14.002504973862713,-14.981516636267656,False,0.9324333484993976
FD,NV,162.92741336592695,0.6502463760058959,-11.95403370929148,-2.506863238972386,-1.23529637918827,-15.04594695144624,-14.981516636267656,False,0.9961569253241016
FD,NY,146.17851648460783,-7.206716231545414,-4.053013666900426,-1.9416655614107583,-6.088771675190387,-19.290167135046985,-14.981516636267656,False,0.5987957777368735
FD,OH,118.09486246920447,-6.219531828573309,-8.65131951433527,-4.35329667293027,-5.195923516658567,-24.420071532497417,-14.981516636267656,False,0.2404470565257209
FD,OK,76.92061812613743,-0.7304118112355411,-12.413828560745998,0.8943492327507983,-2.409834165124394,-14.659725304355135,-14.981516636267656,False,0.9817434358911763
FD,OR,150.49531797518372,-0.5306725397096841,-9.086509931923558,-6.732926449297366,-0.0002509879174397156,-16.35035990884805,-14.981516636267656,False,0.9048099396144247
FD,PA,135.8602403390807,-7.549429599109999,-6.382942389969287,-2.369829343990574,-7.863939554427077,-24.166140887496937,-14.981516636267656,False,0.2954359984581095
FD,RI,117.76193064495263,-11.480349021977077,-5.739854750566749,-2.545724356158388,-7.034125864129948,-26.80005399283216,-14.981516636267656,False,0.26744634674113055
FD,SC,49.61106226304376,-3.1695867105132436,-8.646127911059523,-1.9401381489574163,-6.576516703769858,-20.33236947430004,-14.981516636267656,False,0.5633699725975236
FD,SD,158.42080695754407,-0.7641288238813786,-6.82387620713277,-4.425405528631472,0.7735559523632105,-11.23985460728241,-14.981516636267656,False,0.7010841896826399
FD,TN,80.55589968429729,-1.4428726933409166,-10.25418186567417,-4.886247040932581,-2.9067297107418426,-19.49003131068951,-14.981516636267656,False,0.6649657728309262
FD,TX,43.73171278871983,1.1948804947799445,-8.51774883648882,1.1290766704074642,-2.5436139190503724,-8.737405590351784,-14.981516636267656,False,0.5925906730858936
FD,UT,165.17629734365994,-1.878708655502578,-9.78112410631772,-2.848502116515988,-0.3363256348738446,-14.84466051321013,-14.981516636267656,False,0.98993962191694
FD,VA,96.4187589000756,-6.6769811226400435,-10.553808494233962,-2.824722737123807,-4.778256612102211,-24.833768966100024,-14.981516636267656,False,0.31863775727600246
FD,VT,169.01009461769365,-7.527022388398592,0.5520596282976271,-2.9928873890257535,-4.571412606622999,-14.539262755749718,-14.981516636267656,False,0.9630653497375326
FD,WA,127.87773078871689,-2.605419138941386,-5.51065129522577,-5.7033851835593055,0.46129382673369435,-13.358161790992767,-14.981516636267656,False,0.8549438421202051
FD,WI,160.21027189588764,-5.524759394897586,-6.92934243081541,-2.001933126371199,-1.8494318133842,-16.305466765468395,-14.981516636267656,False,0.8746109917593362
FD,WV,123.55631994533529,-8.019736938843565,-6.644686282587898,-5.081943880898265,-5.502671012464006,-25.249038114793734,-14.981516636267656,False,0.17907419958657744
FD,WY,205.19029428254888,-3.0598283288635173,-7.808122988321429,-3.8334916414389113,-0.44119539197274094,-15.142638350596599,-14.981516636267656,False,0.9858382622838757
GSL,AL,345.87027938710014,3.605654337932833,3.583171956678086,3.4743570226386282,0.29553893481954674,10.958722252069094,15.319284416726703,False,0.6417074782400289
GSL,AR,333.10959960759544,-0.4059700116570184,4.885540855320812,7.808843862268702,3.7585505455502357,16.04696525148273,15.319284416726703,False,0.9481032153169793
GSL,AZ,319.76277319023245,3.7773150836844707,5.037898665429623,1.291133099644469,2.0277517154641487,12.134098564222711,15.319284416726703,False,0.7341567075060726
GSL,CA,319.2757946731585,2.653166145891248,2.7456004254382833,2.872402021175617,-0.2566838044633073,8.014484788041841,15.319284416726703,False,0.4391556299408137
GSL,CO,215.85296664987152,7.373117692341964,11.366148675480929,1.5839518442010387,-0.014953776616465575,20.308264435407466,15.319284416726703,False,0.7222306238656206
GSL,DC,303.0,2.0,20.0,1.0,0.0,23.0,15.319284416726703,False,0.7245121169226704
GSL,DE,296.78382449585047,6.298377691350083,18.917900919046133,1.8384197414908385,3.5400420501407552,30.59474040202781,15.319284416726703,False,0.41748534079672917
