Year,Season,Latitude,Longitude,Mean_Temperature_C,Max_Temperature_C,P95_Temperature_C,Max_Wetbulb_C,Mean_Wetbulb_C,Days_Above_35C,Days_Above_Wetbulb_28C,Days_High_Wind,Max_Consecutive_Hot_Days,Max_Consecutive_Wetbulb_Days
2014,Fall,25.38,-124.88,,,,,,0,0,0,0,0
2014,Fall,25.38,-123.88,,,,,,0,0,0,0,0
2014,Fall,25.38,-122.88,,,,,,0,0,0,0,0
2014,Fall,25.38,-121.88,,,,,,0,0,0,0,0
2014,Fall,25.38,-120.88,,,,,,0,0,0,0,0
2014,Fall,25.38,-119.88,,,,,,0,0,0,0,0
2014,Fall,25.38,-118.88,,,,,,0,0,0,0,0
2014,Fall,25.38,-117.88,,,,,,0,0,0,0,0
2014,Fall,25.38,-116.88,,,,,,0,0,0,0,0
2014,Fall,25.38,-115.88,,,,,,0,0,0,0,0
2014,Fall,25.38,-114.88,,,,,,0,0,0,0,0
2014,Fall,25.38,-113.88,,,,,,0,0,0,0,0
2014,Fall,25.38,-112.88,,,,,,0,0,0,0,0
2014,Fall,25.38,-111.88,26.66,32.36,30.83,11.49,9.03,0,0,0,0,0
2014,Fall,25.38,-110.88,27.13,33.36,32.04,11.92,9.23,0,0,0,0,0
2014,Fall,25.38,-109.88,,,,,,0,0,0,0,0
2014,Fall,25.38,-108.88,27.06,32.72,31.63,11.64,9.21,0,0,0,0,0
2014,Fall,25.38,-107.88,27.1,31.39,30.67,11.08,9.22,0,0,0,0,0
2014,Fall,25.38,-106.88,18.49,21.61,21.14,6.83,5.51,0,0,0,0,0
2014,Fall,25.38,-105.88,15.47,19.53,18.54,5.93,4.2,0,0,0,0,0
2014,Fall,25.38,-104.88,18.91,24.45,23.54,8.07,5.7,0,0,0,0,0
2014,Fall,25.38,-103.88,20.15,27.14,25.87,9.24,6.23,0,0,0,0,0
2014,Fall,25.38,-102.88,21.57,29.62,27.25,10.31,6.84,0,0,0,0,0
2014,Fall,25.38,-101.88,18.77,28.76,23.84,9.93,5.63,0,0,0,0,0
2014,Fall,25.38,-100.88,16.91,24.78,21.97,8.23,4.82,0,0,0,0,0
2014,Fall,25.38,-99.88,24.77,32.15,30.58,11.4,8.22,0,0,0,0,0
2014,Fall,25.38,-98.88,25.42,32.92,31.37,11.73,8.5,0,0,0,0,0
2014,Fall,25.38,-97.88,25.45,32.19,31.09,11.42,8.51,0,0,0,0,0
2014,Fall,25.38,-96.88,,,,,,0,0,0,0,0
2014,Fall,25.38,-95.88,,,,,,0,0,0,0,0
2014,Fall,25.38,-94.88,,,,,,0,0,0,0,0
2014,Fall,25.38,-93.88,,,,,,0,0,0,0,0
2014,Fall,25.38,-92.88,,,,,,0,0,0,0,0
2014,Fall,25.38,-91.88,,,,,,0,0,0,0,0
2014,Fall,25.38,-90.88,,,,,,0,0,0,0,0
2014,Fall,25.38,-89.88,,,,,,0,0,0,0,0
2014,Fall,25.38,-88.88,,,,,,0,0,0,0,0
2014,Fall,25.38,-87.88,,,,,,0,0,0,0,0
2014,Fall,25.38,-86.88,,,,,,0,0,0,0,0
2014,Fall,25.38,-85.88,,,,,,0,0,0,0,0
2014,Fall,25.38,-84.88,,,,,,0,0,0,0,0
2014,Fall,25.38,-83.88,,,,,,0,0,0,0,0
2014,Fall,25.38,-82.88,,,,,,0,0,0,0,0
2014,Fall,25.38,-81.88,,,,,,0,0,0,0,0
2014,Fall,25.38,-80.88,27.31,31.09,30.39,10.95,9.32,0,0,0,0,0
2014,Fall,25.38,-79.88,,,,,,0,0,0,0,0
2014,Fall,25.38,-78.88,,,,,,0,0,0,0,0
2014,Fall,25.38,-77.88,27.54,29.94,29.58,10.45,9.42,0,0,0,0,0
2014,Fall,25.38,-76.88,27.1,29.73,29.42,10.36,9.22,0,0,0,0,0
2014,Fall,25.38,-75.88,,,,,,0,0,0,0,0
2014,Fall,25.38,-74.88,,,,,,0,0,0,0,0
2014,Fall,25.38,-73.88,,,,,,0,0,0,0,0
2014,Fall,25.38,-72.88,,,,,,0,0,0,0,0
2014,Fall,25.38,-71.88,,,,,,0,0,0,0,0
2014,Fall,25.38,-70.88,,,,,,0,0,0,0,0
2014,Fall,25.38,-69.88,,,,,,0,0,0,0,0
2014,Fall,25.38,-68.88,,,,,,0,0,0,0,0
2014,Fall,25.38,-67.88,,,,,,0,0,0,0,0
2014,Fall,26.38,-124.88,,,,,,0,0,0,0,0
2014,Fall,26.38,-123.88,,,,,,0,0,0,0,0
2014,Fall,26.38,-122.88,,,,,,0,0,0,0,0
2014,Fall,26.38,-121.88,,,,,,0,0,0,0,0
2014,Fall,26.38,-120.88,,,,,,0,0,0,0,0
2014,Fall,26.38,-119.88,,,,,,0,0,0,0,0
2014,Fall,26.38,-118.88,,,,,,0,0,0,0,0
2014,Fall,26.38,-117.88,,,,,,0,0,0,0,0
2014,Fall,26.38,-116.88,,,,,,0,0,0,0,0
2014,Fall,26.38,-115.88,,,,,,0,0,0,0,0
2014,Fall,26.38,-114.88,,,,,,0,0,0,0,0
2014,Fall,26.38,-113.88,,,,,,0,0,0,0,0
2014,Fall,26.38,-112.88,24.92,29.79,28.85,10.37,8.29,0,0,0,0,0
2014,Fall,26.38,-111.88,23.98,30.67,28.72,10.75,7.88,0,0,0,0,0
2014,Fall,26.38,-110.88,,,,,,0,0,0,0,0
2014,Fall,26.38,-109.88,,,,,,0,0,0,0,0
2014,Fall,26.38,-108.88,26.42,31.65,30.97,11.19,8.93,0,0,0,0,0
2014,Fall,26.38,-107.88,21.42,25.86,25.12,8.68,6.78,0,0,0,0,0
2014,Fall,26.38,-106.88,15.46,20.41,18.89,6.32,4.2,0,0,0,0,0
2014,Fall,26.38,-105.88,14.1,20.34,18.16,6.3,3.61,0,0,0,0,0
2014,Fall,26.38,-104.88,18.76,25.66,24.88,8.6,5.63,0,0,0,0,0
2014,Fall,26.38,-103.88,21.42,30.61,28.45,10.73,6.77,0,0,0,0,0
2014,Fall,26.38,-102.88,20.68,29.81,27.48,10.39,6.45,0,0,0,0,0
2014,Fall,26.38,-101.88,21.2,31.14,27.95,10.95,6.68,0,0,0,0,0
2014,Fall,26.38,-100.88,22.48,31.09,29.45,10.94,7.23,0,0,0,0,0
2014,Fall,26.38,-99.88,24.48,32.09,30.96,11.37,8.09,0,0,0,0,0
2014,Fall,26.38,-98.88,25.14,33.34,32.2,11.9,8.37,0,0,0,0,0
2014,Fall,26.38,-97.88,25.17,32.42,31.63,11.51,8.39,0,0,0,0,0
2014,Fall,26.38,-96.88,,,,,,0,0,0,0,0
2014,Fall,26.38,-95.88,,,,,,0,0,0,0,0
2014,Fall,26.38,-94.88,,,,,,0,0,0,0,0
2014,Fall,26.38,-93.88,,,,,,0,0,0,0,0
2014,Fall,26.38,-92.88,,,,,,0,0,0,0,0
2014,Fall,26.38,-91.88,,,,,,0,0,0,0,0
2014,Fall,26.38,-90.88,,,,,,0,0,0,0,0
2014,Fall,26.38,-89.88,,,,,,0,0,0,0,0
2014,Fall,26.38,-88.88,,,,,,0,0,0,0,0
2014,Fall,26.38,-87.88,,,,,,0,0,0,0,0
2014,Fall,26.38,-86.88,,,,,,0,0,0,0,0
2014,Fall,26.38,-85.88,,,,,,0,0,0,0,0
2014,Fall,26.38,-84.88,,,,,,0,0,0,0,0
2014,Fall,26.38,-83.88,,,,,,0,0,0,0,0
2014,Fall,26.38,-82.88,,,,,,0,0,0,0,0
2014,Fall,26.38,-81.88,26.74,33.63,32.02,12.04,9.07,0,0,0,0,0
2014,Fall,26.38,-80.88,27.07,33.41,31.66,11.95,9.21,0,0,0,0,0
2014,Fall,26.38,-79.88,,,,,,0,0,0,0,0
2014,Fall,26.38,-78.88,,,,,,0,0,0,0,0
2014,Fall,26.38,-77.88,27.2,30.12,29.33,10.53,9.27,0,0,0,0,0
2014,Fall,26.38,-76.88,27.49,30.0,29.49,10.47,9.39,0,0,0,0,0
2014,Fall,26.38,-75.88,,,,,,0,0,0,0,0
2014,Fall,26.38,-74.88,,,,,,0,0,0,0,0
2014,Fall,26.38,-73.88,,,,,,0,0,0,0,0
2014,Fall,26.38,-72.88,,,,,,0,0,0,0,0
2014,Fall,26.38,-71.88,,,,,,0,0,0,0,0
2014,Fall,26.38,-70.88,,,,,,0,0,0,0,0
2014,Fall,26.38,-69.88,,,,,,0,0,0,0,0
2014,Fall,26.38,-68.88,,,,,,0,0,0,0,0
2014,Fall,26.38,-67.88,,,,,,0,0,0,0,0
2014,Fall,27.38,-124.88,,,,,,0,0,0,0,0
2014,Fall,27.38,-123.88,,,,,,0,0,0,0,0
2014,Fall,27.38,-122.88,,,,,,0,0,0,0,0
2014,Fall,27.38,-121.88,,,,,,0,0,0,0,0
2014,Fall,27.38,-120.88,,,,,,0,0,0,0,0
2014,Fall,27.38,-119.88,,,,,,0,0,0,0,0
2014,Fall,27.38,-118.88,,,,,,0,0,0,0,0
2014,Fall,27.38,-117.88,,,,,,0,0,0,0,0
2014,Fall,27.38,-116.88,,,,,,0,0,0,0,0
2014,Fall,27.38,-115.88,,,,,,0,0,0,0,0
2014,Fall,27.38,-114.88,,,,,,0,0,0,0,0
2014,Fall,27.38,-113.88,24.4,29.44,28.47,10.22,8.06,0,0,0,0,0
2014,Fall,27.38,-112.88,23.17,29.5,27.77,10.23,7.53,0,0,0,0,0
2014,Fall,27.38,-111.88,25.14,32.28,30.7,11.42,8.37,0,0,0,0,0
2014,Fall,27.38,-110.88,,,,,,0,0,0,0,0
2014,Fall,27.38,-109.88,26.58,32.6,31.63,11.57,8.99,0,0,0,0,0
2014,Fall,27.38,-108.88,26.49,31.61,30.68,11.16,8.96,0,0,0,0,0
2014,Fall,27.38,-107.88,17.39,22.91,21.52,7.41,5.04,0,0,0,0,0
2014,Fall,27.38,-106.88,15.85,22.32,20.69,7.16,4.38,0,0,0,0,0
2014,Fall,27.38,-105.88,18.67,27.65,24.74,9.46,5.6,0,0,0,0,0
2014,Fall,27.38,-104.88,19.2,27.91,26.73,9.57,5.82,0,0,0,0,0
2014,Fall,27.38,-103.88,19.92,30.31,28.26,10.57,6.12,0,0,0,0,0
2014,Fall,27.38,-102.88,21.12,30.92,29.42,10.86,6.64,0,0,0,0,0
2014,Fall,27.38,-101.88,19.54,29.01,27.76,10.04,5.96,0,0,0,0,0
2014,Fall,27.38,-100.88,24.25,33.59,32.89,11.97,7.98,0,0,0,0,0
2014,Fall,27.38,-99.88,24.36,33.47,32.65,11.92,8.03,0,0,0,0,0
2014,Fall,27.38,-98.88,23.76,32.45,31.77,11.49,7.77,0,0,0,0,0
2014,Fall,27.38,-97.88,24.74,32.31,31.91,11.46,8.2,0,0,0,0,0
2014,Fall,27.38,-96.88,,,,,,0,0,0,0,0
2014,Fall,27.38,-95.88,,,,,,0,0,0,0,0
2014,Fall,27.38,-94.88,,,,,,0,0,0,0,0
2014,Fall,27.38,-93.88,,,,,,0,0,0,0,0
2014,Fall,27.38,-92.88,,,,,,0,0,0,0,0
