state,county,fips,state_fips,county_fips,min_elevation_m,max_elevation_m,mean_elevation_m
California,Inyo,6027,6,27,-84.99531555175781,4256.46337890625,638.2579345703125
Washington,Pierce,53053,53,53,-2.0208096504211426,4332.7236328125,344.52227783203125
Colorado,Lake,8065,8,65,0.0,4276.6630859375,2309.2783203125
Colorado,Park,8093,8,93,0.0,4256.96923828125,2248.567138671875
Colorado,Chaffee,8015,8,15,0.0,4245.02978515625,1782.8531494140625
Colorado,Clear Creek,8019,8,19,0.0,4238.4716796875,2170.23291015625
Colorado,Pitkin,8097,8,97,0.0,4232.57763671875,1928.2669677734373
California,Tulare,6107,6,107,0.0,4227.15771484375,1076.097412109375
Colorado,El Paso,8041,8,41,0.0,4220.34619140625,816.995849609375
California,Mono,6051,6,51,0.0,4207.4638671875,858.3817749023438
Colorado,Summit,8117,8,117,0.0,4201.80908203125,1403.9808349609375
Colorado,Alamosa,8003,8,3,0.0,4173.927734375,1926.8360595703125
Colorado,Dolores,8033,8,33,0.0,4165.14306640625,1431.816162109375
Colorado,Costilla,8023,8,23,0.0,4158.59130859375,1999.4342041015625
Colorado,Boulder,8013,8,13,0.0,4157.5966796875,2042.8297119140625
Colorado,Hinsdale,8053,8,53,0.0,4157.2041015625,2256.434326171875
California,Siskiyou,6093,6,93,0.0,4152.9189453125,991.9323120117188
Colorado,Mineral,8079,8,79,0.0,4151.26123046875,2748.03271484375
Colorado,Gunnison,8051,8,51,0.0,4150.25927734375,1635.09814453125
Colorado,Saguache,8109,8,109,0.0,4144.79345703125,2098.80859375
California,Fresno,6019,6,19,0.0,4139.328125,532.154541015625
Colorado,La Plata,8067,8,67,0.0,4128.8359375,1861.4293212890625
Colorado,Custer,8027,8,27,0.0,4120.87109375,1867.9910888671875
Colorado,Eagle,8037,8,37,0.0,4109.1474609375,2316.341064453125
Colorado,San Juan,8111,8,111,0.0,4083.336181640625,2034.99755859375
Colorado,San Miguel,8113,8,113,0.0,4074.39013671875,1643.3692626953125
Colorado,Ouray,8091,8,91,0.0,4067.13623046875,1420.3453369140625
Colorado,Huerfano,8055,8,55,0.0,4051.19287109375,1376.697998046875
Wyoming,Fremont,56013,56,13,0.0,4049.122802734375,1280.895751953125
Colorado,Larimer,8069,8,69,0.0,4046.89208984375,1851.9970703125
Wyoming,Sublette,56035,56,35,0.0,4020.62548828125,1675.756103515625
Utah,Duchesne,49013,49,13,0.0,3999.096923828125,2211.2587890625
Colorado,Grand,8049,8,49,0.0,3987.287109375,1326.643310546875
Colorado,Las Animas,8071,8,71,0.0,3971.90087890625,1102.3583984375
Colorado,Rio Grande,8105,8,105,0.0,3954.20458984375,2209.489013671875
Colorado,Teller,8119,8,119,0.0,3925.829833984375,2406.96044921875
Utah,Summit,49043,49,43,0.0,3922.278564453125,1148.087890625
Wyoming,Park,56029,56,29,0.0,3905.8505859375,1955.362548828125
Wyoming,Johnson,56019,56,19,0.0,3902.02685546875,1400.4566650390625
New Mexico,Taos,35055,35,55,0.0,3896.379150390625,1749.5604248046875
Colorado,Conejos,8021,8,21,0.0,3895.990966796875,2319.918701171875
Wyoming,Teton,56039,56,39,0.0,3890.608642578125,2075.923583984375
Colorado,Fremont,8043,8,43,0.0,3882.99560546875,1997.1517333984373
Colorado,Archuleta,8007,8,7,0.0,3875.670166015625,2025.5552978515625
Colorado,Montezuma,8083,8,83,0.0,3854.319091796875,1598.9652099609375
New Mexico,Rio Arriba,35039,35,39,0.0,3847.643310546875,1592.178466796875
Nevada,Esmeralda,32009,32,9,0.0,3840.20751953125,859.7271118164062
Colorado,Gilpin,8047,8,47,0.0,3837.858154296875,1893.4886474609373
New Mexico,Mora,35033,35,33,0.0,3834.381591796875,1488.36669921875
California,Madera,6039,6,39,0.0,3825.695068359375,519.8766479492188
California,Tuolumne,6109,6,109,0.0,3810.178955078125,1169.1712646484375
Wyoming,Big Horn,56003,56,3,0.0,3802.571044921875,1233.7216796875
Utah,San Juan,49037,49,37,0.0,3769.8955078125,1770.993408203125
Montana,Carbon,30009,30,9,0.0,3765.3154296875,951.912841796875
Colorado,Jackson,8057,8,57,0.0,3763.442626953125,1724.8953857421875
Nevada,White Pine,32033,32,33,0.0,3749.054931640625,2119.288818359375
Montana,Park,30067,30,67,0.0,3742.05908203125,383.2931823730469
New Mexico,Colfax,35007,35,7,0.0,3731.333984375,2009.17041015625
Montana,Stillwater,30095,30,95,0.0,3725.763916015625,711.6911010742188
Arizona,Coconino,4005,4,5,0.0,3719.746337890625,1443.8995361328125
Utah,Uintah,49047,49,47,0.0,3717.66943359375,1693.3636474609375
New Mexico,Santa Fe,35049,35,49,0.0,3715.78564453125,1961.202880859375
Colorado,Garfield,8045,8,45,0.0,3712.312744140625,418.6643676757813
Colorado,Pueblo,8101,8,101,0.0,3677.035400390625,982.123046875
Utah,Daggett,49009,49,9,0.0,3675.82421875,1392.2286376953125
Washington,Yakima,53077,53,77,0.0,3671.70947265625,683.628173828125
Wyoming,Hot Springs,56017,56,17,0.0,3645.484130859375,1013.1778564453124
Utah,Grand,49019,49,19,0.0,3638.83203125,1703.503173828125
Idaho,Custer,16037,16,37,0.0,3622.125,1377.5611572265625
Colorado,Routt,8107,8,107,0.0,3621.532470703125,1870.143798828125
Utah,Beaver,49001,49,1,0.0,3603.10400390625,1812.3985595703125
Utah,Piute,49031,49,31,0.0,3596.236328125,1730.8358154296875
Wyoming,Albany,56001,56,1,0.0,3579.585205078125,1806.9981689453125
Colorado,Rio Blanco,8103,8,103,0.0,3562.60546875,1976.6297607421875
California,Mariposa,6043,6,43,0.0,3562.095703125,685.4361572265625
Nevada,Nye,32023,32,23,0.0,3550.280029296875,836.2890014648438
Utah,Juab,49023,49,23,0.0,3542.26123046875,910.763427734375
Idaho,Butte,16023,16,23,0.0,3538.35205078125,1115.2305908203125
Nevada,Clark,32003,32,3,0.0,3515.284912109375,825.2157592773438
Wyoming,Carbon,56007,56,7,0.0,3513.26953125,1846.28662109375
New Mexico,Otero,35035,35,35,0.0,3510.07568359375,1311.905029296875
Utah,Sevier,49041,49,41,0.0,3501.459716796875,1753.846435546875
New Mexico,San Miguel,35047,35,47,0.0,3489.263916015625,1873.976318359375
California,San Bernardino,6071,6,71,0.0,3442.945556640625,684.0372924804688
Utah,Wayne,49055,49,55,0.0,3440.458984375,1763.2435302734375
New Mexico,Lincoln,35027,35,27,0.0,3438.88671875,1183.429443359375
Colorado,Jefferson,8059,8,59,0.0,3435.2080078125,1645.70068359375
Idaho,Blaine,16013,16,13,0.0,3431.833984375,519.1911010742188
Utah,Garfield,49017,49,17,0.0,3429.33056640625,1714.348876953125
Utah,Utah,49049,49,49,0.0,3420.11328125,1304.5645751953125
Arizona,Apache,4001,4,1,0.0,3418.158203125,1568.708984375
California,Alpine,6003,6,3,0.0,3395.0888671875,1504.8214111328125
Utah,Salt Lake,49035,49,35,0.0,3387.738525390625,1033.6470947265625
Utah,Sanpete,49039,49,39,0.0,3387.600341796875,1591.421630859375
Colorado,Montrose,8085,8,85,0.0,3383.483154296875,1568.3970947265625
Nevada,Lander,32015,32,15,0.0,3370.44921875,1478.6524658203125
Utah,Iron,49021,49,21,0.0,3370.15478515625,1570.0513916015625
Colorado,Delta,8029,8,29,0.0,3367.20361328125,1343.665771484375
Idaho,Lemhi,16059,16,59,0.0,3364.033935546875,1088.9365234375
New Mexico,Cibola,35006,35,6,0.0,3361.526123046875,1284.185546875
